"country";"Agency";"Rating";"Outlook";"Date"
"albania";"S&P";"B+";"Stable";"Feb 05 2016"
"albania";"S&P";"B";"Positive";"Oct 10 2014"
"albania";"S&P";"B";"Stable";"Apr 11 2014"
"albania";"S&P";"B";"Negative";"Dec 06 2013"
"albania";"S&P";"B+";"Stable";"Apr 19 2010"
"albania";"Moody's";"B1";"Stable";"Jun 29 2007"
"andorra";"Moody's";"Baa2";"Stable";"Feb 04 2022"
"andorra";"S&P";"BBB";"Positive";"Jan 14 2022"
"andorra";"Fitch";"BBB+";"Positive";"Jan 14 2022"
"andorra";"S&P";"BBB";"Stable";"Apr 24 2020"
"andorra";"S&P";"BBB";"Positive";"Jul 19 2019"
"andorra";"Fitch";"BBB+";"Stable";"Aug 10 2018"
"andorra";"S&P";"BBB";"Stable";"Jul 28 2017"
"andorra";"Fitch";"BBB";"Positive";"Feb 24 2017"
"andorra";"S&P";"BBB-";"Stable";"Jul 29 2016"
"andorra";"Fitch";"BBB";"Stable";"Sep 11 2015"
"andorra";"S&P";"BBB-";"Negative";"Jun 24 2015"
"andorra";"S&P";"BBB-";"Negative Watch";"Mar 27 2015"
"andorra";"S&P";"BBB";"Negative Watch";"Mar 12 2015"
"andorra";"S&P";"BBB+";"Stable";"Oct 03 2014"
"andorra";"S&P";"A-";"Negative";"Dec 03 2012"
"andorra";"S&P";"A";"Negative";"Jun 14 2010"
"andorra";"S&P";"A+";"Stable";"May 26 2009"
"andorra";"S&P";"AA-";"Negative";"Aug 12 2008"
"andorra";"S&P";"AA";"Negative";"Aug 16 2007"
"andorra";"S&P";"AA";"Stable";"Aug 11 2004"
"andorra";"S&P";"AA-";"Stable";"May 06 2003"
"angola";"S&P";"B-";"Stable";"Feb 04 2022"
"angola";"Fitch";"B-";"Stable";"Jan 21 2022"
"angola";"Moody's";"B3";"Stable";"Sep 13 2021"
"angola";"Moody's";"Caa1";"Stable";"Sep 08 2020"
"angola";"Fitch";"CCC";"N/A";"Sep 04 2020"
"angola";"Moody's";"B3";"Under Review";"Mar 31 2020"
"angola";"S&P";"CCC+";"Stable";"Mar 26 2020"
"angola";"Fitch";"B-";"Stable";"Mar 06 2020"
"angola";"Fitch";"B";"Negative";"Jul 12 2019"
"angola";"S&P";"B-";"Negative";"Feb 08 2019"
"angola";"Fitch";"B";"Stable";"Dec 28 2018"
"angola";"Fitch";"B";"Under Review";"Dec 21 2018"
"angola";"Moody's";"B3";"Stable";"Apr 28 2018"
"angola";"Fitch";"B";"Stable";"Apr 25 2018"
"angola";"Moody's";"B2";"Under Review";"Feb 07 2018"
"angola";"Moody's";"B2";"Stable";"Oct 20 2017"
"angola";"S&P";"B-";"Stable";"Aug 11 2017"
"angola";"Fitch";"B";"Negative";"Sep 23 2016"
"angola";"S&P";"B";"Negative";"Aug 12 2016"
"angola";"Moody's";"B1";"Negative";"Apr 29 2016"
"angola";"Fitch";"B+";"Negative";"Mar 25 2016"
"angola";"Moody's";"Ba2";"Negative Watch";"Mar 04 2016"
"angola";"S&P";"B";"Stable";"Feb 12 2016"
"angola";"Fitch";"B+";"Stable";"Sep 15 2015"
"angola";"S&P";"B+";"Negative";"Aug 14 2015"
"angola";"Fitch";"BB-";"Negative";"Mar 27 2015"
