"date";"country";"rating";"agency";"grade";"outlook"
"2016-02-05";"albania";"B+";"standardPoors";"highly speculative";"stable"
"2014-10-10";"albania";"B";"standardPoors";"highly speculative";"positive"
"2014-04-11";"albania";"B";"standardPoors";"highly speculative";"stable"
"2013-12-06";"albania";"B";"standardPoors";"highly speculative";"negative"
"2010-04-19";"albania";"B+";"standardPoors";"highly speculative";"stable"
"2007-06-29";"albania";"B+";"moodys";"highly speculative";"stable"
"2022-02-04";"andorra";"BBB";"moodys";"lower medium grade";"stable"
"2022-01-14";"andorra";"BBB";"standardPoors";"lower medium grade";"positive"
"2022-01-14";"andorra";"BBB+";"fitch";"lower medium grade";"positive"
"2020-04-24";"andorra";"BBB";"standardPoors";"lower medium grade";"stable"
"2019-07-19";"andorra";"BBB";"standardPoors";"lower medium grade";"positive"
"2018-08-10";"andorra";"BBB+";"fitch";"lower medium grade";"stable"
"2017-07-28";"andorra";"BBB";"standardPoors";"lower medium grade";"stable"
"2017-02-24";"andorra";"BBB";"fitch";"lower medium grade";"positive"
"2016-07-29";"andorra";"BBB-";"standardPoors";"lower medium grade";"stable"
"2015-09-11";"andorra";"BBB";"fitch";"lower medium grade";"stable"
"2015-06-24";"andorra";"BBB-";"standardPoors";"lower medium grade";"negative"
"2015-03-27";"andorra";"BBB-";"standardPoors";"lower medium grade";"negative watch"
"2015-03-12";"andorra";"BBB";"standardPoors";"lower medium grade";"negative watch"
"2014-10-03";"andorra";"BBB+";"standardPoors";"lower medium grade";"stable"
"2012-12-03";"andorra";"A-";"standardPoors";"upper medium grade";"negative"
"2010-06-14";"andorra";"A";"standardPoors";"upper medium grade";"negative"
"2009-05-26";"andorra";"A+";"standardPoors";"upper medium grade";"stable"
"2008-08-12";"andorra";"AA-";"standardPoors";"high grade";"negative"
"2007-08-16";"andorra";"AA";"standardPoors";"high grade";"negative"
"2004-08-11";"andorra";"AA";"standardPoors";"high grade";"stable"
"2003-05-06";"andorra";"AA-";"standardPoors";"high grade";"stable"
"2022-02-04";"angola";"B-";"standardPoors";"highly speculative";"stable"
"2022-01-21";"angola";"B-";"fitch";"highly speculative";"stable"
"2021-09-13";"angola";"B-";"moodys";"highly speculative";"stable"
"2020-09-08";"angola";"CCC+";"moodys";"substantial risks";"stable"
"2020-09-04";"angola";"CCC";"fitch";"substantial risks";NA
"2020-03-31";"angola";"B-";"moodys";"highly speculative";"under review"
"2020-03-26";"angola";"CCC+";"standardPoors";"substantial risks";"stable"
"2020-03-06";"angola";"B-";"fitch";"highly speculative";"stable"
"2019-07-12";"angola";"B";"fitch";"highly speculative";"negative"
"2019-02-08";"angola";"B-";"standardPoors";"highly speculative";"negative"
"2018-12-28";"angola";"B";"fitch";"highly speculative";"stable"
"2018-12-21";"angola";"B";"fitch";"highly speculative";"under review"
"2018-04-28";"angola";"B-";"moodys";"highly speculative";"stable"
"2018-04-25";"angola";"B";"fitch";"highly speculative";"stable"
"2018-02-07";"angola";"B";"moodys";"highly speculative";"under review"
"2017-10-20";"angola";"B";"moodys";"highly speculative";"stable"
"2017-08-11";"angola";"B-";"standardPoors";"highly speculative";"stable"
"2016-09-23";"angola";"B";"fitch";"highly speculative";"negative"
"2016-08-12";"angola";"B";"standardPoors";"highly speculative";"negative"
"2016-04-29";"angola";"B+";"moodys";"highly speculative";"negative"
"2016-03-25";"angola";"B+";"fitch";"highly speculative";"negative"
"2016-03-04";"angola";"BB";"moodys";"non-investment grade speculative";"negative watch"
"2016-02-12";"angola";"B";"standardPoors";"highly speculative";"stable"
"2015-09-15";"angola";"B+";"fitch";"highly speculative";"stable"
"2015-08-14";"angola";"B+";"standardPoors";"highly speculative";"negative"
"2015-03-27";"angola";"BB-";"fitch";"non-investment grade speculative";"negative"
"2015-03-04";"angola";"BB";"moodys";"non-investment grade speculative";"negative"
"2015-02-13";"angola";"B+";"standardPoors";"highly speculative";"stable"
"2014-08-08";"angola";"BB";"moodys";"non-investment grade speculative";"stable"
"2014-04-11";"angola";"BB-";"fitch";"non-investment grade speculative";"stable"
"2012-08-22";"angola";"BB-";"moodys";"non-investment grade speculative";"positive"
"2012-05-23";"angola";"BB-";"fitch";"non-investment grade speculative";"positive"
"2011-11-21";"angola";"BB-";"fitch";"non-investment grade speculative";"stable"
"2011-07-12";"angola";"BB-";"standardPoors";"non-investment grade speculative";"stable"
"2011-06-03";"angola";"BB-";"moodys";"non-investment grade speculative";"stable"
"2011-05-24";"angola";"BB-";"fitch";"non-investment grade speculative";"stable"
"2011-04-26";"angola";"B+";"moodys";"highly speculative";"positive watch"
"2010-05-19";"angola";"B+";"standardPoors";"highly speculative";"stable"
"2010-05-19";"angola";"B+";"fitch";"highly speculative";"positive"
"2010-05-19";"angola";"B+";"moodys";"highly speculative";"positive"
"2020-09-28";"argentina";"CC";"moodys";"extremely speculative";"stable"
"2020-09-10";"argentina";"CCC";"fitch";"substantial risks";NA
"2020-09-10";"argentina";"CCC";"dbrs";"substantial risks";"stable"
"2020-09-07";"argentina";"CCC+";"standardPoors";"substantial risks";"stable"
"2020-05-26";"argentina";"RD";"fitch";"In default with little prospect for recovery";NA
"2020-04-17";"argentina";"C";"fitch";NA;NA
"2020-04-07";"argentina";"CC";"fitch";"extremely speculative";NA
"2020-04-07";"argentina";"SD";"standardPoors";"In default with little prospect for recovery";NA
"2020-04-06";"argentina";"RD";"fitch";"In default with little prospect for recovery";NA
"2020-04-03";"argentina";"CC";"moodys";"extremely speculative";"negative"
"2020-01-07";"argentina";"CCC-";"standardPoors";"substantial risks";"negative"
"2019-12-30";"argentina";"CC";"standardPoors";"extremely speculative";"negative"
"2019-12-23";"argentina";"CC";"fitch";"extremely speculative";NA
"2019-12-23";"argentina";"SD";"dbrs";"In default with little prospect for recovery";NA
"2019-12-20";"argentina";"RD";"fitch";"In default with little prospect for recovery";NA
"2019-12-20";"argentina";"SD";"standardPoors";"In default with little prospect for recovery";"negative"
"2019-09-03";"argentina";"CC";"fitch";"extremely speculative";NA
"2019-08-30";"argentina";"CC";"dbrs";"extremely speculative";"under review"
"2019-08-30";"argentina";"CCC-";"standardPoors";"substantial risks";"negative"
"2019-08-30";"argentina";"CCC";"moodys";"substantial risks";"under review"
"2019-08-30";"argentina";"RD";"fitch";"In default with little prospect for recovery";NA
"2019-08-29";"argentina";"SD";"standardPoors";"In default with little prospect for recovery";NA
"2019-08-16";"argentina";"CCC";"fitch";"substantial risks";"negative"
"2019-08-16";"argentina";"B-";"standardPoors";"highly speculative";"negative"
"2019-07-12";"argentina";"B";"moodys";"highly speculative";"negative"
"2018-11-12";"argentina";"B";"standardPoors";"highly speculative";"stable"
"2018-11-07";"argentina";"B";"fitch";"highly speculative";"negative"
"2018-08-31";"argentina";"B+";"standardPoors";"highly speculative";"negative watch"
"2018-05-04";"argentina";"B";"fitch";"highly speculative";"stable"
"2017-11-29";"argentina";"B";"moodys";"highly speculative";"stable"
"2017-11-07";"argentina";"B";"fitch";"highly speculative";"positive"
"2017-10-30";"argentina";"B+";"standardPoors";"highly speculative";"stable"
"2017-04-04";"argentina";"B";"standardPoors";"highly speculative";"stable"
"2017-03-06";"argentina";"B-";"moodys";"highly speculative";"positive"
"2016-05-13";"argentina";"B";"dbrs";"highly speculative";"stable"
"2016-05-10";"argentina";"B";"fitch";"highly speculative";"stable"
"2016-05-06";"argentina";"B-";"standardPoors";"highly speculative";"stable"
"2016-04-15";"argentina";"B-";"moodys";"highly speculative";"stable"
"2015-11-24";"argentina";"CCC+";"moodys";"substantial risks";"positive"
"2015-11-02";"argentina";"CCC+";"moodys";"substantial risks";"stable"
"2014-07-31";"argentina";"RD";"fitch";"In default with little prospect for recovery";NA
"2014-07-31";"argentina";"SD";"dbrs";"In default with little prospect for recovery";NA
"2014-07-31";"argentina";"CCC+";"moodys";"substantial risks";"negative"
"2014-07-30";"argentina";"SD";"standardPoors";"In default with little prospect for recovery";NA
"2014-07-01";"argentina";"CCC-";"standardPoors";"substantial risks";"negative watch"
"2014-06-20";"argentina";"CC";"dbrs";"extremely speculative";"under review"
"2014-06-17";"argentina";"CCC-";"standardPoors";"substantial risks";"negative"
"2014-03-17";"argentina";"CCC+";"moodys";"substantial risks";"stable"
"2014-02-18";"argentina";"CCC+";"dbrs";"substantial risks";"negative"
"2013-09-10";"argentina";"CCC+";"standardPoors";"substantial risks";"negative"
"2013-08-30";"argentina";"B-";"dbrs";"highly speculative";"under review"
"2012-11-27";"argentina";"CC";"fitch";"extremely speculative";NA
"2012-11-12";"argentina";"B";"dbrs";"highly speculative";"under review"
"2012-10-30";"argentina";"B";"fitch";"highly speculative";"negative watch"
"2012-10-30";"argentina";"B-";"standardPoors";"highly speculative";"negative"
"2012-09-17";"argentina";"B-";"moodys";"highly speculative";"negative"
"2012-04-23";"argentina";"B";"standardPoors";"highly speculative";"negative"
"2011-10-05";"argentina";"B";"dbrs";"highly speculative";"stable"
"2010-10-19";"argentina";"B-";"dbrs";"highly speculative";"positive"
"2010-09-13";"argentina";"B";"standardPoors";"highly speculative";"stable"
"2010-07-12";"argentina";"B";"fitch";"highly speculative";"stable"
"2008-10-31";"argentina";"B-";"standardPoors";"highly speculative";"stable"
"2008-10-22";"argentina";"B-";"dbrs";"highly speculative";"negative"
"2008-08-14";"argentina";"B-";"moodys";"highly speculative";"stable"
"2008-08-11";"argentina";"B";"standardPoors";"highly speculative";"stable"
"2008-04-25";"argentina";"B+";"standardPoors";"highly speculative";"negative"
"2007-09-06";"argentina";"B-";"dbrs";"highly speculative";"stable"
"2007-01-16";"argentina";"B-";"moodys";"highly speculative";"positive"
"2006-10-02";"argentina";"B+";"standardPoors";"highly speculative";"stable"
"2006-03-23";"argentina";"B";"standardPoors";"highly speculative";"stable"
"2005-12-14";"argentina";"RD";"fitch";"In default with little prospect for recovery";NA
"2005-06-29";"argentina";"B-";"moodys";"highly speculative";"stable"
"2005-06-03";"argentina";"DDD";"fitch";"in default";NA
"2005-06-01";"argentina";"B-";"standardPoors";"highly speculative";"stable"
"2005-01-14";"argentina";"D";"fitch";"in default";NA
"2003-08-20";"argentina";"CCC+";"moodys";"substantial risks";"stable"
